Date,Open,High,Low,Close,Volume,Adj Close
2013-03-19,2801.10,2807.00,2763.12,2787.27,1690680000,2787.27
2013-03-18,2771.53,2803.45,2767.48,2792.30,1550510000,2792.30
2013-03-15,2810.04,2810.24,2792.23,2799.41,2305230000,2799.41
2013-03-14,2806.41,2812.29,2801.36,2807.30,1651650000,2807.30
2013-03-13,2801.41,2807.70,2787.72,2798.68,1577280000,2798.68
2013-03-12,2803.47,2809.53,2788.22,2800.81,1673740000,2800.81
2013-03-11,2798.13,2812.05,2791.39,2811.86,1628500000,2811.86
2013-03-08,2809.33,2812.73,2792.13,2804.11,1611700000,2804.11
2013-03-07,2794.69,2804.03,2790.04,2799.49,1675640000,2799.49
2013-03-06,2808.11,2808.18,2788.68,2792.56,1764020000,2792.56
2013-03-05,2776.28,2803.35,2776.12,2799.25,1891510000,2799.25
2013-03-04,2738.21,2759.84,2734.92,2759.53,1718290000,2759.53
2013-03-01,2725.38,2751.22,2713.49,2747.75,1870250000,2747.75
2013-02-28,2742.38,2761.28,2738.22,2738.58,2022530000,2738.58
2013-02-27,2714.45,2757.61,2710.19,2741.26,1727260000,2741.26
2013-02-26,2708.80,2718.06,2689.83,2713.02,1847750000,2713.02
2013-02-25,2756.19,2763.96,2700.97,2700.97,1930990000,2700.97
2013-02-22,2726.27,2737.28,2715.47,2737.28,1581500000,2737.28
2013-02-21,2730.10,2731.25,2700.32,2711.51,2052630000,2711.51
2013-02-20,2781.00,2782.45,2739.27,2739.99,2001800000,2739.99
2013-02-19,2770.70,2782.86,2766.86,2782.86,1843840000,2782.86
2013-02-15,2772.56,2779.07,2756.43,2764.67,1858670000,2764.67
2013-02-14,2760.12,2776.49,2759.74,2771.43,1924900000,2771.43
2013-02-13,2770.70,2783.19,2765.04,2773.77,1822450000,2773.77
2013-02-12,2771.16,2776.71,2761.41,2762.62,1786800000,2762.62
2013-02-11,2774.44,2777.13,2766.31,2774.64,1551370000,2774.64
2013-02-08,2761.05,2780.13,2760.39,2775.56,1816480000,2775.56
2013-02-07,2746.02,2749.14,2716.36,2746.50,1955960000,2746.50
2013-02-06,2745.38,2758.25,2738.47,2746.35,2002740000,2746.35
2013-02-05,2727.82,2762.86,2720.79,2754.99,2150080000,2754.99
2013-02-04,2749.40,2755.65,2715.51,2715.68,1874750000,2715.68
2013-02-01,2751.19,2768.63,2740.65,2763.96,2012930000,2763.96
2013-01-31,2736.13,2751.11,2730.07,2731.53,2190840000,2731.53
2013-01-30,2748.63,2757.09,2732.05,2738.71,2014350000,2738.71
